window_start,window_end,cand_sharpe,base_sharpe,beats
2005-01-07,2006-12-29,0.871696301910697,0.8721096406381464,0.0
2005-04-08,2007-03-30,1.1931607472740906,1.2125098244332202,0.0
2005-07-08,2007-06-29,1.2026748334035673,1.2286386537960612,0.0
2005-10-07,2007-09-28,1.2222666120536105,1.281629800566539,0.0
2006-01-06,2007-12-28,1.400540850517949,1.4620286105725981,0.0
2006-04-07,2008-03-28,1.45353559555623,1.5152929675391666,0.0
2006-07-07,2008-06-27,1.3509339718025353,1.405869584959204,0.0
2006-10-06,2008-09-26,0.9572445248848659,0.9971298254795656,0.0
2007-01-05,2008-12-26,0.8157333890987913,0.8540293959004935,0.0
2007-04-06,2009-03-27,0.2278044999591437,0.2528833131680372,0.0
2007-07-06,2009-06-26,0.2204398494726716,0.2470552558960135,0.0
2007-10-05,2009-09-25,0.6995862404314713,0.7012580239675994,0.0
2008-01-04,2009-12-25,0.939986391826444,0.9359961034218166,1.0
2008-04-04,2010-03-26,1.0627936296268945,1.0822748878474504,0.0
2008-07-04,2010-06-25,0.6589440902771497,0.6728308459616492,0.0
2008-10-03,2010-09-24,1.345415116676511,1.3864847281199117,0.0
2009-01-02,2010-12-24,1.3142412619018347,1.3474316582384964,0.0
2009-04-03,2011-03-25,1.5944022996822116,1.6385788788453075,0.0
2009-07-03,2011-06-24,1.5357555235524807,1.5714867281013176,0.0
2009-10-02,2011-09-23,0.9705196092065645,0.959210399288125,1.0
2010-01-01,2011-12-23,0.7199910046200203,0.7193271657196578,1.0
2010-04-02,2012-03-23,0.6174537383964145,0.6014866119843816,1.0
2010-07-02,2012-06-22,1.1179298044191006,1.0863226589442698,1.0
2010-10-01,2012-09-21,0.8124986936726183,0.7782819583838188,1.0
2010-12-31,2012-12-21,0.694719590247146,0.6715914797793144,1.0
2011-04-01,2013-03-22,0.7541281598039331,0.7220894610687738,1.0
2011-07-01,2013-06-21,0.5062355943116282,0.48841808372950873,1.0
2011-09-30,2013-09-20,1.1090025213172385,1.152926268633788,0.0
2011-12-30,2013-12-20,1.2557078933692976,1.2923581852004216,0.0
2012-03-30,2014-03-21,1.1737717369346394,1.2203605119269254,0.0
2012-06-29,2014-06-20,1.3810979767915068,1.415214906911957,0.0
2012-09-28,2014-09-19,0.9867536032368908,1.001562154660535,0.0
2012-12-28,2014-12-19,1.4399677988432655,1.460060662926917,0.0
2013-03-29,2015-03-20,1.1828238085972647,1.1845120920633316,0.0
2013-06-28,2015-06-19,1.097185960840622,1.093417873808822,1.0
2013-09-27,2015-09-18,0.5636938782630359,0.5359844657473811,1.0
2013-12-27,2015-12-18,0.3662430588288573,0.35484008494519137,1.0
2014-03-28,2016-03-18,0.2734435177697617,0.253845205718047,1.0
2014-06-27,2016-06-17,0.3922855657721217,0.38949850299086874,1.0
2014-09-26,2016-09-16,0.6867431334301354,0.6992123160202879,0.0
2014-12-26,2016-12-16,-0.26263006229100366,-0.22787592494699518,0.0
2015-03-27,2017-03-17,-0.16971272783306568,-0.14950474842089084,0.0
2015-06-26,2017-06-16,0.33198225460907466,0.34104464744094626,0.0
2015-09-25,2017-09-15,0.8263436455697153,0.851985684332929,0.0
2015-12-25,2017-12-15,1.0313497529019058,1.0465102592397886,0.0
2016-03-25,2018-03-16,0.9091343820155142,0.9318200774738755,0.0
2016-06-24,2018-06-15,0.666477996932465,0.6791704865648561,0.0
2016-09-23,2018-09-14,0.5108562993625188,0.49815914825917573,1.0
2016-12-23,2018-12-14,0.7877514469617182,0.7867204048382138,1.0
2017-03-24,2019-03-15,0.8324232047157922,0.8455967206248852,0.0
2017-06-23,2019-06-14,0.8715003493607522,0.870573830290143,1.0
2017-09-22,2019-09-13,0.9863730908797175,0.9941943455610275,0.0
2017-12-22,2019-12-13,0.7020968847169622,0.7118539812969494,0.0
2018-03-23,2020-03-13,0.017443428256470734,0.029308513340432794,0.0
2018-06-22,2020-06-12,0.46085261382840664,0.4737410954153609,0.0
2018-09-21,2020-09-11,0.4706773929694336,0.4817720102793155,0.0
2018-12-21,2020-12-11,0.9389580533650543,0.9382999025958452,1.0
2019-03-22,2021-03-12,0.8107029131282473,0.811707396967621,0.0
2019-06-21,2021-06-11,0.7576077792382955,0.7713234600420256,0.0
2019-09-20,2021-09-10,0.6264057212526206,0.6354108654664542,0.0
2019-12-20,2021-12-10,0.7236940697664306,0.7430622816347706,0.0
