Date,gross_return,net_return,turnover,cost,wealth,drawdown
2005-01-07,0.0,0.0,,0.0,1.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-06,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-13,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-20,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-27,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-03,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-10,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-17,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-24,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-05,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-12,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-19,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-26,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-30,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-07,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-30,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-06,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-13,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-20,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-27,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-31,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-07,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-14,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-21,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-05,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-12,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-19,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-26,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-02,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-09,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-16,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-23,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-30,0.005633810761298228,0.0055996059032309715,0.8,3.420485806725668e-05,1.005599605903231,0.0
2006-07-07,0.0035521884185307005,0.0035521884185307005,0.0,0.0,1.0091716851769996,0.0
2006-07-14,-0.01268822999320017,-0.01268822999320017,0.0,0.0,0.9963670827328485,-0.012688229993200184
2006-07-21,0.022989160592696258,0.022989160592696258,0.0,0.0,1.0192727256070702,0.0
2006-07-28,0.008301010364093198,0.0082890362615644,0.23292087307738993,1.1974102528798212e-05,1.0277215141900509,0.0
2006-08-04,-0.01638270202704399,-0.016383030933605994,0.005546552476212049,3.289065620035621e-07,1.010884320831943,-0.016383030933605935
2006-08-11,0.005585042745105892,0.005584816129726978,0.0033498807726599494,2.2661537891407168e-07,1.0165299238922132,-0.010889711019290815
2006-08-18,0.0018223666333145837,0.0018207604808637722,0.0250977684156817,1.6061524508113793e-06,1.0183807814052517,-0.009088778093898964
2006-08-25,0.009042772745236521,0.009038525044885462,0.07069778715318209,4.247700351058401e-06,1.027585441603213,-0.00013240219744259374
2006-09-01,-0.010605126844044122,-0.010606310745082101,0.019412430059094703,1.1839010379778587e-06,1.016686551092447,-0.01073730864367528
2006-09-08,-0.010844014102603798,-0.01084517813894996,0.016532284466604485,1.1640363461622626e-06,1.0056604043343749,-0.02146603875765163
2006-09-15,0.003007790547586561,0.003005018922727457,0.0428965310738611,2.7716248591040753e-06,1.0086824328792374,-0.018525525687586808
2006-09-22,0.010530444738748833,0.010528889975554937,0.023364941664111023,1.554763193895473e-06,1.019302739235298,-0.008191688933735786
2006-09-29,-0.0023393019932390047,-0.0023466025105224,0.1241504840367553,7.3005172833953585e-06,1.016910840868426,-0.010519068806441045
2006-10-06,0.013670856486036685,0.013668928527831465,0.028282269701023398,1.9279582052203615e-06,1.0308109224714335,0.0
2006-10-13,0.002615052831672877,0.0026132518077375167,0.03185591644745128,1.80102393536005e-06,1.0335046909780174,0.0
2006-10-20,0.007051194189038851,0.007045940529658497,0.07464880430768481,5.253659380353617e-06,1.0407867035677718,0.0
2006-10-27,-0.00040332291432928504,-0.0004100853564580974,0.16292704488123744,6.762442128812331e-06,1.0403598921814423,-0.00041008535645814526
2006-11-03,0.009544559579997381,0.00954336720758814,0.019416929163482404,1.1923724092403765e-06,1.0502884286605767,0.0
2006-11-10,0.005285664496785793,0.005283917715857162,0.03374145696796256,1.7467809286313631e-06,1.0558380662955362,0.0
2006-11-17,0.023895920297251932,0.023892524847397123,0.055488000216247155,3.395449854810568e-06,1.0810647035293302,0.0
2006-11-24,0.004079046230719335,0.004064933454178931,0.2397908823059848,1.4112776540403858e-05,1.0854591596088385,0.0
2006-12-01,0.0032348793641645895,0.003232769766536523,0.038603439232587536,2.109597628066601e-06,1.088968199162832,0.0
2006-12-08,0.001262125196066926,0.0012569215061665553,0.07336082885832844,5.203689900370531e-06,1.0903369467118913,0.0
2006-12-15,-0.006224254900107908,-0.006228022710413682,0.061197730209322676,3.767810305774036e-06,1.0835463034457666,-0.006228022710413561
2006-12-22,0.012877833518497707,0.012873048866727252,0.0691505289519192,4.784651770454187e-06,1.0974948479593856,0.0
2006-12-29,-0.022156996870502814,-0.022172255994763603,0.22954261248709215,1.5259124260788356e-05,1.073160911237496,-0.022172255994763468
2007-01-05,0.022554823040613632,0.022549231087863227,0.07559138263125462,5.591952750404153e-06,1.0973598646194522,-0.0001229922310653775
2007-01-12,0.01126447237106667,0.011260753715381565,0.05153546531000256,3.7186556851047354e-06,1.1097169637920763,0.0
2007-01-19,0.005503916977487451,0.0055023702416705155,0.027047123247896543,1.5467358169354973e-06,1.1158230373903228,0.0
2007-01-26,0.01618302812152716,0.016171296859692003,0.18765607224117475,1.1731261835154895e-05,1.133867342970845,0.0
2007-02-02,0.003273675377792276,0.0032726984201821036,0.014572830415044133,9.769576101722923e-07,1.1375781488328818,0.0
2007-02-09,0.012742098667228726,0.012737713147853677,0.048856145741177553,4.385519375049041e-06,1.1520682929759813,0.0
2007-02-16,-0.001208530962989323,-0.00121613785255231,0.07497814956748353,7.606889562986993e-06,1.150667219116168,-0.001216137852552257
2007-02-23,-0.03767645672343216,-0.037689206499206075,0.189615966531638,1.2749775773915917e-05,1.1072994846830315,-0.03885950908110203
2007-03-02,0.011557407499004111,0.011555867147529401,0.029645658991346253,1.5403514747094935e-06,1.1200952904205563,-0.027752697257932057
2007-03-09,-0.009047948891057776,-0.009048341891193176,0.007225247184606702,3.930001354005128e-07,1.1099602852821158,-0.03654992325593276
2007-03-16,0.025726987944517065,0.0257230718797797,0.0665675813972838,3.91606473736374e-06,1.1385118734841284,-0.011767027679265851
2007-03-23,-0.004782507546684768,-0.0047855641411288855,0.04089507491707686,3.056594444117683e-06,1.1330634518881333,-0.016496279954685167
2007-03-30,0.011156720147690978,0.011147907798318955,0.1713322026603317,8.812349372022428e-06,1.1456947387794272,-0.005532271164316316
2007-04-06,0.002126557788093007,0.0021188885431809197,0.13932187376275532,7.669244912087154e-06,1.1481223382354095,-0.0034251048871232204
2007-04-13,0.011988927425619243,0.01198295935179796,0.12638917412952871,5.968073821282091e-06,1.1618802415453757,0.0
2007-04-20,-0.0027907880059244313,-0.0027948547544663265,0.08318906904712435,4.066748541895068e-06,1.1586329550281722,-0.0027948547544662805
2007-04-27,0.003610211481086282,0.0036004659796643394,0.1447155984430633,9.74550142194233e-06,1.162804573565669,0.0
2007-05-04,-0.0009582916816481775,-0.0009602076181047491,0.027216900528327554,1.9159364565715565e-06,1.161688039755764,-0.0009602076181047803
2007-05-11,-0.014713323489528392,-0.014717046723664263,0.04090528455180981,3.7232341358717807e-06,1.1445914225963565,-0.01566312292138905
2007-05-18,0.00042229387019387764,0.0004186605695884089,0.0482967615126446,3.6333006054687357e-06,1.1450706178932866,-0.015251019883764538
2007-05-25,0.018746157414178496,0.018738859120562244,0.11747201559412218,7.29829361625269e-06,1.1665279348850839,0.0
2007-06-01,-0.02080793281987181,-0.020812893658075156,0.05404123191463715,4.960838203345015e-06,1.1422491130271466,-0.02081289365807515
2007-06-08,0.008724683458154112,0.008723983740979215,0.009689031149918152,6.997171748979805e-07,1.1522140757173434,-0.0122704812629717
2007-06-15,-0.008967910010632242,-0.00896864934671418,0.009969732728981266,7.39336081938305e-07,1.1418802716998862,-0.02112908096592292
2007-06-22,0.005875298353395643,0.005873350279186531,0.025300833580506357,1.9480742091117876e-06,1.1485869345124724,-0.015379829180326432
2007-06-29,0.013486191302354154,0.013476737082191024,0.22111176521850734,9.454220163130492e-06,1.164066138644937,-0.0021103620123674727
2007-07-06,0.01198282509407941,0.01198108320275724,0.019530656333869505,1.7418913221701269e-06,1.1780129119055542,0.0
2007-07-13,-0.0034833137725066386,-0.0034843470275662306,0.014504298528462654,1.0332550595921682e-06,1.1739083061175215,-0.0034843470275661703
