name,state,n_weeks,stage1_risky_budget,stage1_cash_budget,post_overlay_risky_budget,post_overlay_cash_budget,final_etf_risky_budget,final_etf_cash_budget,overlay_cash_added,overlay_absorption,lookthrough_absorption,total_absorption,bucket_offense,bucket_defense,bucket_composite,bucket_cash
improved_phase2b_regime_confidence_boost,calm_trend,295,0.9728813559322034,0.02711864406779661,0.9664835742167563,0.033516425783243604,0.9315193152046186,0.06848068479538143,0.006397781715446995,0.006397781715447026,0.03496425901213773,0.04136204072758476,0.4860551496231372,0.16945186108466728,0.31097656350895186,0.033516425783243604
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,293,0.8907849829351536,0.10921501706484642,0.8507665993919975,0.14923340060800244,0.7869310827127224,0.21306891728727764,0.040018383543156025,0.04001838354315612,0.06383551667927512,0.10385390022243124,0.4253970555563971,0.15053865180273343,0.2748308920328668,0.14923340060800244
improved_phase2b_regime_confidence_boost,neutral_mixed,200,0.825,0.175,0.6683323610110814,0.3316676389889186,0.6140118110878976,0.3859881889121024,0.1566676389889186,0.15666763898891856,0.0543205499231838,0.21098818891210236,0.34552910137255316,0.11154105320324462,0.21126220643528348,0.3316676389889186
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,1.0,2.523234146875355e-18,0.9361623843434809,0.06383761565651912,0.8743227924924986,0.12567720750750142,0.06383761565651912,0.06383761565651913,0.06183959185098231,0.12567720750750144,0.42720297040177857,0.17788775316154726,0.3310716607801548,0.06383761565651912
improved_phase2b_regime_confidence_boost,recovery_fragile,49,1.0,9.063045098980867e-18,0.8764868292556014,0.12351317074439862,0.7817820996671326,0.21821790033286736,0.1235131707443986,0.1235131707443986,0.09470472958846876,0.21821790033286736,0.45843794814584216,0.1390698256782358,0.2789790554315232,0.12351317074439862
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.9912663755458515,0.00873362445414848,0.49067527807973976,0.5093247219202602,0.39258630161550856,0.6074136983844914,0.5005910974661117,0.5005910974661117,0.0980889764642312,0.598680073930343,0.2419112275012731,0.07616459990740157,0.17259945067106483,0.5093247219202602
improved_phasett_recovery_two_stage_bucket,calm_trend,295,0.9728813559322034,0.027118644067796616,0.9648606808544157,0.035139319145584325,0.9307868865889952,0.06921311341100478,0.008020675077787708,0.008020675077787698,0.034073794265420454,0.04209446934320815,0.48985923165771894,0.16709387968901565,0.30790756950768094,0.035139319145584325
improved_phasett_recovery_two_stage_bucket,neutral_healthy_proxy,293,0.8907849829351536,0.10921501706484642,0.8430010312189288,0.15699896878107125,0.7861813130020847,0.21381868699791529,0.047783951716224835,0.04778395171622485,0.05681971821684406,0.10460366993306891,0.43775368449816293,0.15793992009629443,0.24730742662447117,0.15699896878107125
improved_phasett_recovery_two_stage_bucket,neutral_mixed,200,0.825,0.175,0.6670739781956345,0.3329260218043655,0.6141847981816098,0.3858152018183903,0.1579260218043655,0.15792602180436544,0.05288918001402476,0.2108152018183902,0.345117199335464,0.11666645657294561,0.20529032228722477,0.3329260218043655
improved_phasett_recovery_two_stage_bucket,recovery_confirmed,44,1.0,1.0092936587501423e-17,0.9347059958426813,0.06529400415731872,0.8917306641611744,0.10826933583882555,0.0652940041573187,0.06529400415731867,0.04297533168150691,0.10826933583882559,0.5143920408894425,0.18914010099062348,0.2311738539626152,0.06529400415731872
improved_phasett_recovery_two_stage_bucket,recovery_fragile,49,1.0,0.0,0.8725090056403846,0.12749099435961536,0.784155332474972,0.21584466752502793,0.12749099435961536,0.12749099435961542,0.08835367316541254,0.21584466752502796,0.4400706321343868,0.19559568240010883,0.2368426911058889,0.12749099435961536
improved_phasett_recovery_two_stage_bucket,stressed_panic,229,0.9912663755458515,0.008733624454148475,0.49017233159177553,0.5098276684082245,0.3922326071366332,0.6077673928633668,0.501094043954076,0.501094043954076,0.09793972445514232,0.5990337684092183,0.2392090114778897,0.07826913508380574,0.17269418503007983,0.5098276684082245
