security_id,permanent_id_source,ticker,first_observed_date,last_observed_date,delisting_date,knowledge_at_utc
yahoo-ticker:BIL,synthetic_ticker_id_not_permanent,BIL,2007-05-30,2026-08-14,,2026-08-14T22:06:13.923864+00:00
yahoo-ticker:DBA,synthetic_ticker_id_not_permanent,DBA,2007-01-05,2026-08-14,,2026-08-14T22:06:14.317193+00:00
yahoo-ticker:EEM,synthetic_ticker_id_not_permanent,EEM,2003-04-14,2026-08-14,,2026-08-14T22:06:14.778672+00:00
yahoo-ticker:EFA,synthetic_ticker_id_not_permanent,EFA,2001-08-27,2026-08-14,,2026-08-14T22:06:15.302398+00:00
yahoo-ticker:EWJ,synthetic_ticker_id_not_permanent,EWJ,1996-03-18,2026-08-14,,2026-08-14T22:06:15.842138+00:00
yahoo-ticker:GLD,synthetic_ticker_id_not_permanent,GLD,2004-11-18,2026-08-14,,2026-08-14T22:06:16.253167+00:00
yahoo-ticker:HYG,synthetic_ticker_id_not_permanent,HYG,2007-04-11,2026-08-14,,2026-08-14T22:06:16.690684+00:00
yahoo-ticker:IAU,synthetic_ticker_id_not_permanent,IAU,2005-01-28,2026-08-14,,2026-08-14T22:06:17.137303+00:00
yahoo-ticker:IEF,synthetic_ticker_id_not_permanent,IEF,2002-07-30,2026-08-14,,2026-08-14T22:06:17.661480+00:00
yahoo-ticker:IWM,synthetic_ticker_id_not_permanent,IWM,2000-05-26,2026-08-14,,2026-08-14T22:06:18.231677+00:00
yahoo-ticker:LQD,synthetic_ticker_id_not_permanent,LQD,2002-07-30,2026-08-14,,2026-08-14T22:06:18.762297+00:00
yahoo-ticker:MBB,synthetic_ticker_id_not_permanent,MBB,2007-03-16,2026-08-14,,2026-08-14T22:06:19.222344+00:00
yahoo-ticker:PDBC,synthetic_ticker_id_not_permanent,PDBC,2014-11-07,2026-08-14,,2026-08-14T22:06:19.546256+00:00
yahoo-ticker:QQQ,synthetic_ticker_id_not_permanent,QQQ,1999-03-10,2026-08-14,,2026-08-14T22:06:19.960555+00:00
yahoo-ticker:SHY,synthetic_ticker_id_not_permanent,SHY,2002-07-30,2026-08-14,,2026-08-14T22:06:20.473110+00:00
yahoo-ticker:SLV,synthetic_ticker_id_not_permanent,SLV,2006-04-28,2026-08-14,,2026-08-14T22:06:20.846325+00:00
yahoo-ticker:SPY,synthetic_ticker_id_not_permanent,SPY,1993-01-29,2026-08-14,,2026-08-14T22:06:21.409180+00:00
yahoo-ticker:TIP,synthetic_ticker_id_not_permanent,TIP,2003-12-05,2026-08-14,,2026-08-14T22:06:21.989021+00:00
yahoo-ticker:TLT,synthetic_ticker_id_not_permanent,TLT,2002-07-30,2026-08-14,,2026-08-14T22:06:22.485303+00:00
yahoo-ticker:USO,synthetic_ticker_id_not_permanent,USO,2006-04-10,2026-08-14,,2026-08-14T22:06:22.862847+00:00
yahoo-ticker:UUP,synthetic_ticker_id_not_permanent,UUP,2007-03-01,2026-08-14,,2026-08-14T22:06:23.315196+00:00
yahoo-ticker:VEA,synthetic_ticker_id_not_permanent,VEA,2007-07-26,2026-08-14,,2026-08-14T22:06:23.727192+00:00
yahoo-ticker:VNQ,synthetic_ticker_id_not_permanent,VNQ,2004-09-29,2026-08-14,,2026-08-14T22:06:24.312855+00:00
yahoo-ticker:VTV,synthetic_ticker_id_not_permanent,VTV,2004-01-30,2026-08-14,,2026-08-14T22:06:24.863391+00:00
yahoo-ticker:VUG,synthetic_ticker_id_not_permanent,VUG,2004-01-30,2026-08-14,,2026-08-14T22:06:25.310955+00:00
yahoo-ticker:VWO,synthetic_ticker_id_not_permanent,VWO,2005-03-10,2026-08-14,,2026-08-14T22:06:25.843751+00:00
yahoo-ticker:XLB,synthetic_ticker_id_not_permanent,XLB,1998-12-22,2026-08-14,,2026-08-14T22:06:26.369947+00:00
yahoo-ticker:XLE,synthetic_ticker_id_not_permanent,XLE,1998-12-22,2026-08-14,,2026-08-14T22:06:26.856559+00:00
yahoo-ticker:XLF,synthetic_ticker_id_not_permanent,XLF,1998-12-22,2026-08-14,,2026-08-14T22:06:27.467420+00:00
yahoo-ticker:XLI,synthetic_ticker_id_not_permanent,XLI,1998-12-22,2026-08-14,,2026-08-14T22:06:28.053059+00:00
yahoo-ticker:XLK,synthetic_ticker_id_not_permanent,XLK,1998-12-22,2026-08-14,,2026-08-14T22:06:28.600722+00:00
yahoo-ticker:XLP,synthetic_ticker_id_not_permanent,XLP,1998-12-22,2026-08-14,,2026-08-14T22:06:29.145357+00:00
yahoo-ticker:XLU,synthetic_ticker_id_not_permanent,XLU,1998-12-22,2026-08-14,,2026-08-14T22:06:29.751653+00:00
yahoo-ticker:XLV,synthetic_ticker_id_not_permanent,XLV,1998-12-22,2026-08-14,,2026-08-14T22:06:30.302079+00:00
yahoo-ticker:XLY,synthetic_ticker_id_not_permanent,XLY,1998-12-22,2026-08-14,,2026-08-14T22:06:30.846717+00:00
