candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week,cagr_delta,sharpe_delta,drawdown_delta
control,base,50,full_recent,188,2023-01-06,2026-08-07,0.3859439073786717,1.5388388960078965,2.522905279182384,-0.21241551098419487,0.0,2.2543559701473765,0.22981736144842455,0.6170212765957447,0.11529536904474091,-0.12569620363330747,0.0,0.0,0.0
control,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.5585821924961887,1.8011104151115283,3.019253515627269,-0.21241551098419498,0.0,1.4499981725111284,0.26703072975664444,0.6571428571428571,0.11529536904474091,-0.12569620363330747,0.0,0.0,0.0
control,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.9231041941304314,2.433138458415453,4.608076981179561,-0.13441888678479008,0.0,0.947441441869731,0.28684550654384433,0.660377358490566,0.11529536904474091,-0.0724939435810178,0.0,0.0,0.0
control,base,50,ytd,32,2026-01-02,2026-08-07,0.8831130360956219,2.1465395766734408,4.050310444818278,-0.13441888678479008,0.0,0.47623229310385873,0.3193675169064504,0.625,0.11529536904474091,-0.0724939435810178,0.0,0.0,0.0
cash_rel_8w_00_10,base,50,full_recent,188,2023-01-06,2026-08-07,0.37916141605640274,1.526032976228297,2.504717876250693,-0.21241551098419476,0.811941418447401,2.197144606313493,0.2282789199292015,0.6117021276595744,0.11529536904474091,-0.12569620363330747,-0.006782491322268935,-0.01280591977959955,1.1102230246251565e-16
cash_rel_8w_00_10,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.5561011822524733,1.806827630139584,3.0345231379707833,-0.21241551098419498,0.6541284764113728,1.4421295608275644,0.2649988196241295,0.6571428571428571,0.11529536904474091,-0.12569620363330747,-0.002481010243715387,0.005717215028055778,0.0
cash_rel_8w_00_10,base,50,trailing_1y,53,2025-08-08,2026-08-07,0.9394026333249568,2.4866397398590947,4.779188700080108,-0.12250772022562229,0.5073465606195167,0.9642649060246569,0.28375303665047835,0.660377358490566,0.11529536904474091,-0.0724939435810178,0.016298439194525338,0.053501281443641524,0.011911166559167796
cash_rel_8w_00_10,base,50,ytd,32,2026-01-02,2026-08-07,0.9217107852622899,2.238266938481267,4.311394312967916,-0.12250772022562217,0.5195357970087915,0.49477989440636816,0.314816983280661,0.625,0.11529536904474091,-0.0724939435810178,0.03859774916666803,0.09172736180782604,0.011911166559167907
cash_rel_8w_00_20,base,50,full_recent,188,2023-01-06,2026-08-07,0.37222969124785643,1.5088280424750748,2.477687404219736,-0.21241551098419498,1.6215624167035214,2.139429840259546,0.22738510390666838,0.6117021276595744,0.11529536904474091,-0.12569620363330747,-0.013714216130815249,-0.030010853532821624,-1.1102230246251565e-16
cash_rel_8w_00_20,base,50,trailing_2y,105,2024-08-09,2026-08-07,0.5533357318752836,1.807406762539671,3.0392522219407736,-0.2124155109841953,1.3057694803170754,1.433373894721417,0.2637366422445045,0.6571428571428571,0.11529536904474091,-0.12569620363330747,-0.005246460620905058,0.006296347428142779,-3.3306690738754696e-16
