candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return,severe_cost,all_screen_gates
cash_rel_13w_05_30,0.9876185804449138,2.6492883832093734,-0.11157169754843788,1.0160724453949879,0.38067002117993987,True,0.8781732370703854,True,True,True,True,True,True,True
cash_rel_13w_00_20,0.9834116041272369,2.556666418204467,-0.12316427265011909,0.9819229190843375,0.3885904389917565,True,0.874618944000108,True,True,True,True,True,True,True
cash_rel_13w_10_30,0.9613009066346787,2.6829334630819215,-0.10642919968600684,0.9992296178960709,0.37152917727134604,True,0.8553340850450921,True,True,True,True,True,True,True
cash_rel_13w_05_20,0.9575674959889897,2.5919513793157116,-0.11715583562270582,0.9658387100662396,0.37951062817906567,True,0.8519764146107525,True,True,True,True,True,True,True
cash_rel_8w_00_20,0.9552362922178914,2.5308509397312555,-0.11057976323854946,0.9601359067534008,0.37222969124785643,True,0.8281885574886596,True,True,True,True,True,True,True
cash_rel_13w_00_10,0.9531589625293568,2.4968816024185814,-0.1287647362225901,0.9321056132900711,0.38731948077089173,True,0.8483338504203009,True,True,True,True,True,True,True
cash_rel_8w_05_30,0.9519898511789608,2.606579609451353,-0.09567784958457803,0.9876773348488084,0.35958308720719745,True,0.820429155401825,True,True,True,True,True,False,False
cash_rel_26w_00_20,0.9509369376788599,2.472913632064525,-0.1377945939976034,0.9284664134598155,0.3783922220337761,True,0.8441710036213501,True,True,True,True,True,True,True
cash_rel_26w_05_30,0.9473213211134988,2.542090809604744,-0.12992660230949682,0.9488260657234038,0.36875433395635615,True,0.8405322671548647,True,True,True,True,True,True,True
cash_rel_8w_00_10,0.9394026333249568,2.4866397398590947,-0.12250772022562229,0.9217107852622899,0.37916141605640274,True,0.8254751395700588,True,True,True,True,True,True,True
cash_rel_26w_00_10,0.9370440710741315,2.454461148430625,-0.13609067384326867,0.90577456864314,0.3821946817055999,True,0.8332297701302689,True,True,True,True,True,True,True
cash_rel_8w_05_20,0.9367782790427479,2.5711674222959284,-0.10765981124233259,0.949668945922689,0.36663153242283086,True,0.8182011611958397,True,True,True,True,True,False,False
cash_rel_26w_05_20,0.9336002459932722,2.5265900151005716,-0.1281713986854236,0.9261355992861424,0.37259268471875684,True,0.8296851733957602,True,True,True,True,True,True,True
cash_rel_8w_10_30,0.9332085542771591,2.6458137305883023,-0.0936571828008278,0.9766912460195847,0.35393862126309417,True,0.8103323317306128,True,True,True,True,False,False,False
cash_rel_26w_10_30,0.9295664001407211,2.593974671295132,-0.12116321379113215,0.9459378803834377,0.3628791527851809,True,0.8258747813540568,False,True,True,True,True,True,False
cash_rel_39w_00_20,0.9231041941304328,2.4331384584154536,-0.1344188867847902,0.8831130360956234,0.3676278499040364,True,0.8222769358977453,False,True,True,True,True,True,False
cash_rel_39w_00_10,0.9231041941304325,2.4331384584154536,-0.13441888678479008,0.883113036095623,0.3767787099926925,True,0.8222769358977462,False,True,True,True,True,True,False
control,0.9231041941304314,2.433138458415453,-0.13441888678479008,0.8831130360956219,0.3859439073786717,True,0.8222769358977449,False,True,True,True,True,True,False
cash_rel_39w_05_30,0.9128525368970781,2.4972079887634977,-0.12563457613200313,0.8920255343487062,0.35417377091018887,True,0.8131042452976078,False,True,True,True,False,False,False
cash_rel_39w_05_20,0.9128525368970772,2.4972079887634995,-0.1256345761320029,0.8920255343487014,0.3632805094985141,True,0.8131042452976087,False,True,True,True,True,False,False
top2_return_26w_10,0.9116859718384731,2.423947876131795,-0.13441888678478986,0.8950562427565101,0.37007331382236464,True,0.8032970315093411,False,True,True,True,True,False,False
top2_return_39w_10,0.9094506918002929,2.4088572402904167,-0.13441888678478986,0.8831130360956234,0.3774374649851773,True,0.8052636712062642,False,True,True,True,True,False,False
rotate_return_8w_10,0.9055732743601888,2.4602763546598805,-0.12163899857162475,0.8902452404036396,0.3477402252401558,True,0.7647427779459808,False,True,True,True,False,False,False
