Date,net_return,wealth,target_growth_allocation,pretrade_growth_allocation,allocation_turnover,outer_cost,high_confidence,growth_momentum_13w_prior,incumbent_momentum_13w_prior,growth_momentum_long_prior,incumbent_momentum_long_prior,drawdown
2023-01-06,0.03997868130706217,1.0399786813070622,0.1,0.1,0.0,0.0,False,,,,,0.0
2023-01-13,0.005350805318945717,1.0455434047665901,0.1,0.10117051528288391,0.0011705152828839077,5.852576414419539e-06,False,,,,,0.0
2023-01-20,0.02559035541447341,1.0722992320958258,0.1,0.09918669129196457,0.0008133087080354345,4.066543540177172e-06,False,,,,,0.0
2023-01-27,0.020065258543100706,1.0938151934233968,0.1,0.09806306300876738,0.001936936991232624,9.68468495616312e-06,False,,,,,0.0
2023-02-03,-0.009875476092392699,1.0830132476312482,0.1,0.10073030345754865,0.0007303034575486395,3.651517287743197e-06,False,,,,,-0.009875476092392699
2023-02-10,-0.0030374722256474307,1.07972362497156,0.1,0.10019206179178858,0.00019206179178857252,9.603089589428627e-07,False,,,,,-0.012882951833694478
2023-02-17,-0.02444952054420102,1.0533249000207587,0.1,0.097631082403712,0.0023689175962880032,1.1844587981440016e-05,False,,,,,-0.03701749038236757
2023-02-24,0.027213943076482172,1.081990023890965,0.1,0.10250949809593843,0.0025094980959384228,1.2547490479692113e-05,False,,,,,-0.01081093918198528
2023-03-03,-0.03667622714442498,1.0423067120067382,0.1,0.09887027504419317,0.001129724955806835,5.648624779034175e-06,False,,,,,-0.04709066186532718
2023-03-10,0.02059594118419472,1.0637739997431204,0.1,0.09497714887840536,0.005022851121594646,2.5114255607973234e-05,False,,,,,-0.027464597183235573
2023-03-17,0.021160790473584434,1.0862842984629315,0.1,0.09576979615663837,0.004230203843361632,2.1151019216808162e-05,False,,,,,-0.0068849792960868905
2023-03-24,0.03865758688473453,1.1282774281122852,0.1,0.09965973266672624,0.000340267333273761,1.701336666368805e-06,False,,,,,0.0
2023-03-31,-0.01393711445883683,1.1125524964553621,0.1,0.10191275000280117,0.0019127500028011668,9.563750014005835e-06,False,,,,,-0.01393711445883683
2023-04-07,0.002250126472447045,1.1150558802796233,0.1,0.09803711030643827,0.0019628896935617313,9.814448467808657e-06,False,-0.009670486076704177,0.12667388522049117,,,-0.011718348256583244
2023-04-14,-0.006009633216626398,1.1083548034231003,0.1,0.10436918264581042,0.004369182645810418,2.1845913229052094e-05,False,-0.015413247859201062,0.08194676253999411,,,-0.017657558498282877
2023-04-21,0.010060803628768378,1.1195057434513422,0.1,0.10048240096884116,0.000482400968841154,2.41200484420577e-06,False,-0.01380662716848613,0.06819921339006951,,,-0.0077744040981292395
2023-04-28,0.001267156340233333,1.1209243322520843,0.1,0.09203909106213568,0.00796090893786433,3.980454468932165e-05,False,-0.08840524427429308,0.05904911925543055,,,-0.00651709914334031
2023-05-05,-0.003982306541531977,1.1164604679511945,0.1,0.09854917320835066,0.0014508267916493456,7.2541339582467274e-06,False,-0.12455320703866335,0.04208532765145989,,,-0.010473452598321997
2023-05-12,0.029377488019360465,1.1492592719725203,0.1,0.10336095782448608,0.0033609578244860744,1.680478912243037e-05,False,-0.09148569886740643,0.04459972406489032,,,0.0
