Date,net_return,wealth,rebalance_turnover,cap_turnover,cost,adverse_loss,largest_stock_weight_end,growth_stock_weight_end,drawdown
2023-01-06,0.037687760672999726,1.0376877606729997,0.30000000000000004,0.0,0.006000000000000001,0.0,0.06314606146494482,0.2460968708617894,0.0
2023-01-13,0.00350721374473717,1.0413271534499775,0.0,0.0,0.0,0.0,0.06590692632552132,0.2443837061443521,0.0
2023-01-20,0.021143486093519348,1.0633444396377512,0.0,0.0,0.0,0.0,0.06753373550730656,0.2410160998025778,0.0
2023-01-27,0.017489256633405503,1.0819415434322806,0.0,0.0,0.0,0.0,0.06890390747313621,0.24491050034692555,0.0
2023-02-03,-0.009449198939192716,1.0717180625478118,0.0,0.0,0.0,0.0,0.06986053080854111,0.24483264386390685,-0.009449198939192716
2023-02-10,-0.00829742920881793,1.0628255577920098,0.0,0.0,0.0,0.0,0.06998136015467832,0.23880514853764237,-0.017668224088732587
2023-02-17,-0.019135778552832106,1.0424875632778117,0.0,0.0,0.0,0.0,0.068385378278988,0.24347717518708392,-0.036465907417980836
2023-02-24,0.024639127540587058,1.0681735473088896,0.0,0.0,0.0,0.0,0.06701079808104629,0.24220673519807367,-0.012725268021148595
2023-03-03,-0.04731800576983736,1.0176297052341399,0.0,0.0,0.0,0.0,0.05952051190151138,0.22762706240308564,-0.05944113948533858
2023-03-10,0.011687651812761768,1.02952340690324,0.0,0.0,0.0,0.0,0.0619759495429495,0.21861657350601357,-0.04844821501423513
2023-03-17,0.02050077370058001,1.0506294332876134,0.0,0.0,0.0,0.0,0.05773950523282243,0.21902340622658267,-0.028940667205859083
2023-03-24,0.042539798403239626,1.0953229975761785,0.0,0.0,0.0,0.0,0.06168248935379995,0.2255686942613451,0.0
2023-03-31,-0.022119071384086753,1.071095470004159,0.0,0.0,0.0,0.0,0.05980005936760956,0.2211402034326005,-0.022119071384086753
2023-04-07,0.011577870413892688,1.0834964745567748,0.023178485544985732,0.0,0.0004635697108997146,0.0,0.06484188296231046,0.25084899957640483,-0.010797292712354634
2023-04-14,-0.004868337759858621,1.0782216477570163,0.0,0.0,0.0,0.0,0.0697473752858307,0.25170445490856097,-0.015613065604397458
2023-04-21,-0.00881352910335853,1.0687187098846387,0.0,0.0,0.0,0.0,0.06169616424846868,0.23185024830005416,-0.024288988499658992
2023-04-28,-0.00431077862425977,1.0641117001147216,0.0,0.0,0.0,0.0,0.07021430805006304,0.22897760076054935,-0.02849506267148949
2023-05-05,0.0030676463805692222,1.0673760185200998,0.0,0.0,0.0,0.0,0.07976313001738082,0.23678711078295883,-0.02551482906678859
2023-05-12,0.02618628127046496,1.095326627162416,0.0,0.0,0.0,0.0,0.08203949976662289,0.23500871988924643,0.0
2023-05-19,0.02428599225829342,1.1219277211499852,0.0,0.0,0.0,0.0,0.08102495739274213,0.23181723127362633,0.0
2023-05-26,0.019616172749133076,1.1439356491401045,0.0,0.0,0.0,0.0,0.08425149926716537,0.2399897346032978,0.0
2023-06-02,-0.005479215025332329,1.1376677797433228,0.0,0.0,0.0,0.0,0.0820224765702923,0.2377495743374037,-0.005479215025332329
2023-06-09,0.03214600633215792,1.1742392553948438,0.0,0.0,0.0,0.0,0.07956762241985477,0.23459818053345682,0.0
2023-06-16,-0.033681449799643715,1.1346891748614913,0.0,0.0,0.0,0.0,0.08055227183126495,0.22544344385521087,-0.033681449799643715
2023-06-23,0.03269179053045135,1.171784195683234,0.0,0.0,0.0,0.0,0.08192441770058269,0.23025978723559962,-0.0020907661708041703
2023-06-30,-0.011494068991867445,1.158315627294471,0.0,0.0,0.0,0.0,0.08257374104930654,0.23569689499366803,-0.013560803752058481
2023-07-07,0.027425424068970194,1.190082924578737,0.3,0.0,0.006,0.0,0.06382118842458391,0.301462600605144,0.0
2023-07-14,-0.010972610211559597,1.1770246085279017,0.0,0.0,0.0,0.0,0.06283539038156438,0.296726743786297,-0.010972610211559597
2023-07-21,0.014517989290209865,1.1941126391888233,0.0,0.0,0.0,0.0,0.06499801337843898,0.2959892892879987,0.0
2023-07-28,-0.030614907520131962,1.1575549911714367,0.0,0.0,0.0,0.0,0.066444602157674,0.2983141715471807,-0.030614907520131962
2023-08-04,-0.0204963796246167,1.133829304636017,0.0,0.0,0.0,0.0,0.07434100029390052,0.29778803183422026,-0.05048379237804357
2023-08-11,-0.028754082897961664,1.1012270828183748,0.0,0.0,0.0,0.0,0.07352557905556477,0.2892383456723187,-0.07778626012496348
2023-08-18,0.015194383261132538,1.117959549172256,0.0,0.0,0.0,0.0,0.07217571481914051,0.2861965719889579,-0.06377379111261983
2023-08-25,0.03166387402037607,1.1533584794971228,0.0,0.0,0.0,0.0,0.07020224880229302,0.2853327893057248,-0.03412924237983561
2023-09-01,-0.02173298984651073,1.1282925513728248,0.0,0.0,0.0,0.0,0.07631747339340797,0.2828166259908823,-0.05512050174823624
2023-09-08,-0.011800056916026258,1.114978635048697,0.0,0.0,0.0,0.0,0.07810944356922545,0.28594684857254843,-0.06627013360639333
2023-09-15,-0.02784242831627748,1.0839349223281727,0.0,0.0,0.0,0.0,0.08123565698535329,0.2833199221294183,-0.09226744047822477
2023-09-22,0.0012440911656046438,1.0852834361891315,0.0,0.0,0.0,0.0,0.07914641113263671,0.287821336034184,-0.09113813842019203
2023-09-29,0.0099933389323279,1.096129041404611,0.0,0.0,0.0,0.0,0.07002616723880804,0.2876684848647529,-0.08205557379475847
2023-10-06,0.013210263369652253,1.1106091947286905,0.3,0.0,0.005999999999999999,0.0,0.06583798031234864,0.30729291191928365,-0.06992928616588279
2023-10-13,-0.01890194458947214,1.0896165212693705,0.0,0.0,0.0,0.0,0.07354978052235314,0.3100920427534663,-0.0875094312630661
2023-10-20,-0.017550838850790118,1.0704928372954132,0.0,0.0,0.0,0.0,0.07078284360567592,0.3106749228126787,-0.10352440618783387
2023-10-27,0.0534700385089375,1.1277321305291408,0.0,0.0,0.0,0.0,0.06934986128652718,0.3038364825081053,-0.05558982166437465
2023-11-03,0.020168771985043854,1.1504771027299907,0.0,0.0,0.0,0.0,0.06354322298135856,0.28787029063181735,-0.036542228117168896
2023-11-10,0.01955612968345899,1.1729759821488286,0.0,0.0,0.0,0.0,0.06492810777696054,0.28863204068040377,-0.017700722985691808
2023-11-17,0.006244348995316118,1.1803004535444896,0.0,0.0,0.0,0.0,0.06475448791044407,0.28680720902724766,-0.011566903482167712
2023-11-24,0.003249661087867617,1.1841360300003656,0.0,0.0,0.0,0.0,0.06474061957672943,0.2849796692804564,-0.008354830910453193
2023-12-01,-0.007076048112986011,1.1757570264797628,0.0,0.0,0.0,0.0,0.058932140126328886,0.2757005725594776,-0.015371759837941035
2023-12-08,0.03517888661163493,1.2171188495971275,0.0,0.0,0.0,0.0,0.06347258507003387,0.2809621201247687,0.0
2023-12-15,0.0023387754038990405,1.2199654172261871,0.0,0.0,0.0,0.0,0.06371995199644714,0.2793516783158627,0.0
2023-12-22,0.0005364896270190211,1.2206199160178508,0.0,0.0,0.0,0.0,0.06442689021670646,0.278047661308079,0.0
2023-12-29,-0.037300974991894775,1.1750896030558602,0.0,0.0,0.0,0.0,0.06154082527288558,0.2834710882647192,-0.037300974991894775
2024-01-05,0.02054366201244129,1.1992302466953735,0.2403079611667491,0.0,0.0048061592233349815,0.0,0.06519872691436361,0.29050921736810237,-0.017523611602421663
2024-01-12,0.037594956662095225,1.24431525584776,0.0,0.0,0.0,0.0,0.06832754657280878,0.2915321619186562,0.0
2024-01-19,0.005559500877260426,1.251233027604234,0.0,0.0,0.0,0.0,0.0697087482747335,0.2903525095180732,0.0
