Date,Ticker,signal_name,signal_value_observed,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2005-01-07,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,
2005-01-14,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-01-21,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-01-28,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-02-04,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-02-11,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-02-18,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-02-25,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-03-04,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-03-11,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-03-18,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-03-25,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-04-01,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-04-08,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-04-15,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-04-22,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-04-29,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-05-06,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-05-13,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-05-20,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-05-27,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2005-06-03,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2005-06-10,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2005-06-17,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2005-06-24,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2005-07-01,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2005-07-08,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2005-07-15,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2005-07-22,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2005-07-29,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2005-08-05,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2005-08-12,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2005-08-19,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2005-08-26,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2005-09-02,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2005-09-09,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2005-09-16,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2005-09-23,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2005-09-30,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2005-10-07,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2005-10-14,BIL,bm_sector_above_200d_ma,-0.3333333333333333,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2005-10-21,BIL,bm_sector_above_200d_ma,-0.4444444444444444,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.3333333333333333
2005-10-28,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.4444444444444444
2005-11-04,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2005-11-11,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2005-11-18,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2005-11-25,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2005-12-02,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2005-12-09,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2005-12-16,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2005-12-23,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2005-12-30,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-01-06,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-01-13,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-01-20,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-01-27,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-02-03,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-02-10,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-02-17,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-02-24,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-03-03,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-03-10,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-03-17,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-03-24,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-03-31,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-04-07,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-04-14,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-04-21,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-04-28,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-05-05,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-05-12,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-05-19,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-05-26,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-06-02,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-06-09,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-06-16,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-06-23,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-06-30,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-07-07,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-07-14,BIL,bm_sector_above_200d_ma,-0.4444444444444444,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-07-21,BIL,bm_sector_above_200d_ma,-0.4444444444444444,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.4444444444444444
2006-07-28,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.4444444444444444
2006-08-04,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-08-11,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-08-18,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2006-08-25,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-09-01,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-09-08,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-09-15,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-09-22,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2006-09-29,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2006-10-06,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-10-13,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-10-20,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-10-27,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2006-11-03,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-11-10,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-11-17,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-11-24,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-12-01,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-12-08,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-12-15,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-12-22,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2006-12-29,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-01-05,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-01-12,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-01-19,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2007-01-26,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-02-02,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-02-09,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-02-16,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-02-23,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-03-02,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-03-09,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-03-16,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-03-23,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-03-30,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-04-06,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-04-13,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-04-20,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-04-27,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-05-04,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-05-11,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-05-18,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-05-25,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-06-01,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-06-08,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-06-15,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-06-22,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-06-29,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-07-06,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-07-13,BIL,bm_sector_above_200d_ma,-1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-07-20,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-1.0
2007-07-27,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2007-08-03,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2007-08-10,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2007-08-17,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2007-08-24,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2007-08-31,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-09-07,BIL,bm_sector_above_200d_ma,-0.6666666666666666,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2007-09-14,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.6666666666666666
2007-09-21,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-09-28,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-10-05,BIL,bm_sector_above_200d_ma,-0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-10-12,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.8888888888888888
2007-10-19,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-10-26,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-11-02,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-11-09,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-11-16,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-11-23,BIL,bm_sector_above_200d_ma,-0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-11-30,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.5555555555555556
2007-12-07,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-12-14,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-12-21,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2007-12-28,BIL,bm_sector_above_200d_ma,-0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2008-01-04,BIL,bm_sector_above_200d_ma,-0.4444444444444444,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.7777777777777778
2008-01-11,BIL,bm_sector_above_200d_ma,-0.4444444444444444,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.4444444444444444
2008-01-18,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.4444444444444444
2008-01-25,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2008-02-01,BIL,bm_sector_above_200d_ma,-0.3333333333333333,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.0
2008-02-08,BIL,bm_sector_above_200d_ma,-0.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,-0.3333333333333333
