Date,vix_level_observed,vix_level_z_observed,vix_level_z_tradable,vix_slope_1m_3m_observed,vix_slope_risk_off_z_observed,vix_slope_risk_off_z_tradable,vix_contango_flag_observed,vix_contango_flag_tradable,google_fear_z_observed,google_fear_z_tradable,macro_risk_score_tradable,macro_regime_label_tradable
2005-01-07,13.489999771118164,,,,,,0.0,,,,,
2005-01-14,12.43000030517578,,,,,,0.0,0.0,,,,
2005-01-21,14.359999656677246,,,,,,0.0,0.0,,,,
2005-01-28,13.239999771118164,,,,,,0.0,0.0,,,,
2005-02-04,11.210000038146973,,,,,,0.0,0.0,,,,
2005-02-11,11.43000030517578,,,,,,0.0,0.0,,,,
2005-02-18,11.18000030517578,,,,,,0.0,0.0,,,,
2005-02-25,11.489999771118164,,,,,,0.0,0.0,,,,
2005-03-04,11.9399995803833,,,,,,0.0,0.0,,,,
2005-03-11,12.800000190734863,,,,,,0.0,0.0,,,,
2005-03-18,13.140000343322754,,,,,,0.0,0.0,,,,
2005-03-25,13.420000076293944,,,,,,0.0,0.0,,,,
2005-04-01,14.09000015258789,,,,,,0.0,0.0,,,,
2005-04-08,12.619999885559082,,,,,,0.0,0.0,,,,
2005-04-15,17.739999771118164,,,,,,0.0,0.0,,,,
2005-04-22,15.380000114440918,,,,,,0.0,0.0,,,,
2005-04-29,15.3100004196167,,,,,,0.0,0.0,,,,
2005-05-06,14.050000190734863,,,,,,0.0,0.0,,,,
2005-05-13,16.31999969482422,,,,,,0.0,0.0,,,,
2005-05-20,13.140000343322754,,,,,,0.0,0.0,,,,
2005-05-27,12.149999618530272,,,,,,0.0,0.0,,,,
2005-06-03,12.149999618530272,,,,,,0.0,0.0,,,,
2005-06-10,11.960000038146973,,,,,,0.0,0.0,,,,
2005-06-17,11.479999542236328,,,,,,0.0,0.0,,,,
2005-06-24,12.18000030517578,,,,,,0.0,0.0,,,,
2005-07-01,11.399999618530272,,,,,,0.0,0.0,,,,
2005-07-08,11.449999809265137,,,,,,0.0,0.0,,,,
2005-07-15,10.329999923706056,,,,,,0.0,0.0,,,,
2005-07-22,10.520000457763672,,,,,,0.0,0.0,,,,
2005-07-29,11.56999969482422,,,,,,0.0,0.0,,,,
2005-08-05,12.479999542236328,,,,,,0.0,0.0,,,,
2005-08-12,12.739999771118164,,,,,,0.0,0.0,,,,
