security_id,permanent_id_source,ticker,first_observed_date,last_observed_date,delisting_date,knowledge_at_utc
yahoo-ticker:BIL,synthetic_ticker_id_not_permanent,BIL,2007-05-30,2026-09-04,,2026-09-04T21:05:01.811045+00:00
yahoo-ticker:DBA,synthetic_ticker_id_not_permanent,DBA,2007-01-05,2026-09-04,,2026-09-04T21:05:02.357689+00:00
yahoo-ticker:EEM,synthetic_ticker_id_not_permanent,EEM,2003-04-14,2026-09-04,,2026-09-04T21:05:02.873335+00:00
yahoo-ticker:EFA,synthetic_ticker_id_not_permanent,EFA,2001-08-27,2026-09-04,,2026-09-04T21:05:03.578540+00:00
yahoo-ticker:EWJ,synthetic_ticker_id_not_permanent,EWJ,1996-03-18,2026-09-04,,2026-09-04T21:05:04.116012+00:00
yahoo-ticker:GLD,synthetic_ticker_id_not_permanent,GLD,2004-11-18,2026-09-04,,2026-09-04T21:05:04.679509+00:00
yahoo-ticker:HYG,synthetic_ticker_id_not_permanent,HYG,2007-04-11,2026-09-04,,2026-09-04T21:05:05.210038+00:00
yahoo-ticker:IAU,synthetic_ticker_id_not_permanent,IAU,2005-01-28,2026-09-04,,2026-09-04T21:05:05.858582+00:00
yahoo-ticker:IEF,synthetic_ticker_id_not_permanent,IEF,2002-07-30,2026-09-04,,2026-09-04T21:05:06.519529+00:00
yahoo-ticker:IWM,synthetic_ticker_id_not_permanent,IWM,2000-05-26,2026-09-04,,2026-09-04T21:05:07.072904+00:00
yahoo-ticker:LQD,synthetic_ticker_id_not_permanent,LQD,2002-07-30,2026-09-04,,2026-09-04T21:05:07.808968+00:00
yahoo-ticker:MBB,synthetic_ticker_id_not_permanent,MBB,2007-03-16,2026-09-04,,2026-09-04T21:05:08.396614+00:00
yahoo-ticker:PDBC,synthetic_ticker_id_not_permanent,PDBC,2014-11-07,2026-09-04,,2026-09-04T21:05:08.885542+00:00
yahoo-ticker:QQQ,synthetic_ticker_id_not_permanent,QQQ,1999-03-10,2026-09-04,,2026-09-04T21:05:09.346638+00:00
yahoo-ticker:SHY,synthetic_ticker_id_not_permanent,SHY,2002-07-30,2026-09-04,,2026-09-04T21:05:09.989121+00:00
yahoo-ticker:SLV,synthetic_ticker_id_not_permanent,SLV,2006-04-28,2026-09-04,,2026-09-04T21:05:10.361251+00:00
yahoo-ticker:SPY,synthetic_ticker_id_not_permanent,SPY,1993-01-29,2026-09-04,,2026-09-04T21:05:10.956687+00:00
yahoo-ticker:TIP,synthetic_ticker_id_not_permanent,TIP,2003-12-05,2026-09-04,,2026-09-04T21:05:11.544624+00:00
yahoo-ticker:TLT,synthetic_ticker_id_not_permanent,TLT,2002-07-30,2026-09-04,,2026-09-04T21:05:12.072456+00:00
yahoo-ticker:USO,synthetic_ticker_id_not_permanent,USO,2006-04-10,2026-09-04,,2026-09-04T21:05:12.451556+00:00
yahoo-ticker:UUP,synthetic_ticker_id_not_permanent,UUP,2007-03-01,2026-09-04,,2026-09-04T21:05:12.998375+00:00
yahoo-ticker:VEA,synthetic_ticker_id_not_permanent,VEA,2007-07-26,2026-09-04,,2026-09-04T21:05:13.521602+00:00
yahoo-ticker:VNQ,synthetic_ticker_id_not_permanent,VNQ,2004-09-29,2026-09-04,,2026-09-04T21:05:14.047922+00:00
yahoo-ticker:VTV,synthetic_ticker_id_not_permanent,VTV,2004-01-30,2026-09-04,,2026-09-04T21:05:14.673122+00:00
yahoo-ticker:VUG,synthetic_ticker_id_not_permanent,VUG,2004-01-30,2026-09-04,,2026-09-04T21:05:15.240412+00:00
yahoo-ticker:VWO,synthetic_ticker_id_not_permanent,VWO,2005-03-10,2026-09-04,,2026-09-04T21:05:15.681589+00:00
yahoo-ticker:XLB,synthetic_ticker_id_not_permanent,XLB,1998-12-22,2026-09-04,,2026-09-04T21:05:16.462631+00:00
yahoo-ticker:XLE,synthetic_ticker_id_not_permanent,XLE,1998-12-22,2026-09-04,,2026-09-04T21:05:17.017687+00:00
yahoo-ticker:XLF,synthetic_ticker_id_not_permanent,XLF,1998-12-22,2026-09-04,,2026-09-04T21:05:17.628708+00:00
yahoo-ticker:XLI,synthetic_ticker_id_not_permanent,XLI,1998-12-22,2026-09-04,,2026-09-04T21:05:18.147558+00:00
yahoo-ticker:XLK,synthetic_ticker_id_not_permanent,XLK,1998-12-22,2026-09-04,,2026-09-04T21:05:18.799564+00:00
yahoo-ticker:XLP,synthetic_ticker_id_not_permanent,XLP,1998-12-22,2026-09-04,,2026-09-04T21:05:19.450655+00:00
yahoo-ticker:XLU,synthetic_ticker_id_not_permanent,XLU,1998-12-22,2026-09-04,,2026-09-04T21:05:19.991758+00:00
yahoo-ticker:XLV,synthetic_ticker_id_not_permanent,XLV,1998-12-22,2026-09-04,,2026-09-04T21:05:20.631819+00:00
yahoo-ticker:XLY,synthetic_ticker_id_not_permanent,XLY,1998-12-22,2026-09-04,,2026-09-04T21:05:21.206740+00:00
