file_path,category,row_count,column_count,start_date,end_date,frequency,key_columns,useful_for_signal_discovery,leakage_risk_notes,recommended_use
data/01_data_hub/01_google_trends.png,data_hub,,,,,unknown,,False,,
data/01_data_hub/01_price_sanity_check.png,data_hub,,,,,unknown,,False,,
data/01_data_hub/01_vix_term_structure.png,data_hub,,,,,unknown,,False,,
data/01_data_hub/benchmark_prices_weekly.csv,data_hub,1110.0,13.0,2005-01-07,2026-04-10,weekly,Date|BIL|GLD|HYG|IEF|LQD|PDBC|SHY|SPY|TIP|TLT|UUP,True,,
data/01_data_hub/benchmark_returns_weekly.csv,data_hub,1109.0,13.0,2005-01-14,2026-04-10,weekly,Date|BIL|GLD|HYG|IEF|LQD|PDBC|SHY|SPY|TIP|TLT|UUP,True,,
data/01_data_hub/benchmarks.csv,data_hub,12.0,4.0,,,unknown,proxy_role|ticker|description|available_in_universe,True,,
data/01_data_hub/daily_prices.csv,data_hub,5353.0,36.0,2005-01-03,2024-11-12,daily,Date|BIL|DBA|EEM|EFA|EWJ|GLD|HYG|IAU|IEF|IWM|LQD,True,,
data/01_data_hub/daily_returns.csv,data_hub,5352.0,36.0,2005-01-04,2024-11-13,daily,Date|BIL|DBA|EEM|EFA|EWJ|GLD|HYG|IAU|IEF|IWM|LQD,True,,
data/01_data_hub/data_quality_report.csv,data_hub,35.0,10.0,,,unknown,Ticker|Description|Asset Class|Start Date|End Date|Weeks Available|Weeks Missing|Completeness %|Has Full History|Ann Vol %,True,,
data/01_data_hub/etf_distribution_history.csv,data_hub,3741.0,5.0,1993-03-19,2026-04-01,irregular,Date|ticker|distribution|pull_timestamp_utc|source,True,,
data/01_data_hub/google_trends.csv,data_hub,1110.0,11.0,2005-01-07,2026-04-10,weekly,Date|recession|stock market crash|inflation|bear market|recession_zscore|stock market crash_zscore|inflation_zscore|bear market_zscore|fear_composite|fear_composite_zscore,True,,
data/01_data_hub/google_trends_raw.csv,data_hub,1109.0,5.0,2005-01-07,2026-04-03,weekly,Date|recession|stock market crash|inflation|bear market,True,,
