weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,peak_largest_stock_weight,average_growth_allocation,annual_total_turnover,cap_event_weeks,scenario,variant,cap_multiple,cap_name,cost_bps,window,control_cagr,control_sharpe,control_max_drawdown,control_peak_stock_weight,cagr_change_vs_control,peak_stock_weight_change_vs_control
188,2023-01-06,2026-08-07,0.3797808018319666,2.202338797813388,1.5285023860062064,-0.2120574797113507,0.22820083799921334,0.13786703128053215,0.19574468085106378,1.9539652323813275,30,base,confidence_10_40,1.0,cap_1.00x,50,full_recent,0.40126852917744404,1.6714991921961102,-0.18965616583969436,0.07063480131186266,-0.021487727345477436,0.0672322299686695
157,2023-08-11,2026-08-07,0.38004089749496983,1.6446371886391757,1.4662751328761399,-0.21205747971135047,0.23984541189772063,0.13786703128053215,0.21464968152866234,2.241330415754421,25,base,confidence_10_40,1.0,cap_1.00x,50,since_incumbent_holdout_start,0.4151816004918538,1.6534361544483416,-0.18965616583969436,0.07063480131186266,-0.03514070299688399,0.0672322299686695
105,2024-08-09,2026-08-07,0.5465535569977455,1.4119681145764993,1.7860847741372983,-0.21205747971135036,0.26454025774715134,0.13786703128053215,0.2628571428571428,2.5437532006467816,17,base,confidence_10_40,1.0,cap_1.00x,50,trailing_2y,0.57168165244658,1.945514531533653,-0.18965616583969414,0.07063480131186266,-0.02512809544883443,0.0672322299686695
53,2025-08-08,2026-08-07,0.8884815642739672,0.9117126330498773,2.4018052372378356,-0.1306405076571976,0.2824101810346801,0.13786703128053215,0.3773584905660376,1.7644999580290912,9,base,confidence_10_40,1.0,cap_1.00x,50,trailing_1y,0.8104445295791014,2.3746706127846626,-0.12398856919038814,0.07063480131186266,0.07803703469486578,0.0672322299686695
32,2026-01-02,2026-08-07,0.8509919961906749,0.46068523901760594,2.1221833408150634,-0.13064050765719737,0.3140490604994005,0.13786703128053215,0.4,1.7188314690299107,6,base,confidence_10_40,1.0,cap_1.00x,50,ytd,0.69424607140974,1.9535483306867933,-0.12398856919038848,0.07063480131186266,0.15674592478093485,0.0672322299686695
188,2023-01-06,2026-08-07,0.3859439073786701,2.254355970147362,1.5388388960078916,-0.21241551098419553,0.2298173614484247,0.14783525440271597,0.19574468085106378,1.8096236032905157,4,base,confidence_10_40,1.5,cap_1.50x,50,full_recent,0.40126852917744404,1.6714991921961102,-0.18965616583969436,0.07063480131186266,-0.015324621798773919,0.07720045309085331
157,2023-08-11,2026-08-07,0.38713656679470265,1.685905467948757,1.4783509829544967,-0.21241551098419553,0.24166649409433422,0.14783525440271597,0.21464968152866234,2.079397222321036,4,base,confidence_10_40,1.5,cap_1.50x,50,since_incumbent_holdout_start,0.4151816004918538,1.6534361544483416,-0.18965616583969436,0.07063480131186266,-0.028045033697151167,0.07720045309085331
105,2024-08-09,2026-08-07,0.5585821924961885,1.4499981725111275,1.801110415111525,-0.2124155109841951,0.2670307297566445,0.14783525440271597,0.2628571428571428,2.3325852230861415,3,base,confidence_10_40,1.5,cap_1.50x,50,trailing_2y,0.57168165244658,1.945514531533653,-0.18965616583969414,0.07063480131186266,-0.013099459950391523,0.07720045309085331
53,2025-08-08,2026-08-07,0.9231041941304312,0.9474414418697306,2.4331384584154496,-0.1344188867847903,0.28684550654384444,0.14783525440271597,0.3773584905660376,1.423374408754208,3,base,confidence_10_40,1.5,cap_1.50x,50,trailing_1y,0.8104445295791014,2.3746706127846626,-0.12398856919038814,0.07063480131186266,0.11265966455132981,0.07720045309085331
32,2026-01-02,2026-08-07,0.8831130360956219,0.47623229310385873,2.1465395766734385,-0.13441888678479008,0.3193675169064505,0.14783525440271597,0.4,1.2772824136550782,3,base,confidence_10_40,1.5,cap_1.50x,50,ytd,0.69424607140974,1.9535483306867933,-0.12398856919038848,0.07063480131186266,0.18886696468588182,0.07720045309085331
188,2023-01-06,2026-08-07,0.38656473005648584,2.25962943267029,1.5400296564620977,-0.21241551098419498,0.22995355626278552,0.15593417350124608,0.19574468085106378,1.8020215059551559,0,base,confidence_10_40,2.0,cap_2.00x,50,full_recent,0.40126852917744404,1.6714991921961102,-0.18965616583969436,0.07063480131186266,-0.014703799120958205,0.08529937218938342
157,2023-08-11,2026-08-07,0.38788064492442276,1.690257795092827,1.47979662026722,-0.2124155109841952,0.24182157491712059,0.15593417350124608,0.21464968152866234,2.0702940739194577,0,base,confidence_10_40,2.0,cap_2.00x,50,since_incumbent_holdout_start,0.4151816004918538,1.6534361544483416,-0.18965616583969436,0.07063480131186266,-0.027300955567431062,0.08529937218938342
