Date,net_return,wealth,target_growth_allocation,growth_weight_end,largest_stock_weight_end,allocation_turnover,quarterly_turnover,cap_turnover,cost,capped_assets,drawdown
2023-01-06,0.038320429762572106,1.038320429762572,0.1,0.10153556793170196,0.021120513130536308,0.0,0.09999999999999999,0.0,0.002,,0.0
2023-01-13,0.005325813375954613,1.0438503305959286,0.1,0.0991866912919646,0.02167062215690309,0.0015355679317019533,0.0,0.0,3.071135863403907e-05,,0.0
2023-01-20,0.025577843540089296,1.0705497710311818,0.1,0.09806306300876737,0.022290446526727865,0.0008133087080354137,0.0,0.0,1.626617416070827e-05,,0.0
2023-01-27,0.01463583041327654,1.086218155928966,0.1,0.10126638009773402,0.02325622421010013,0.0019369369912325875,0.0,0.0,3.873873982465175e-05,,0.0
2023-02-03,-0.009896938193772908,1.0754679219747831,0.1,0.10019206179178858,0.02329417319996973,0.001266380097734032,0.0,0.0,2.532760195468064e-05,,-0.009896938193772908
2023-02-10,-0.003040344404547035,1.0721981290959373,0.1,0.097631082403712,0.023166833182822484,0.00019206179178861763,0.0,0.0,3.841235835772352e-06,,-0.01290719249766037
2023-02-17,-0.024484185935251146,1.045946230743724,0.1,0.10250949809593843,0.0233138202734085,0.0023689175962879998,0.0,0.0,4.737835192576e-05,,-0.037075356331896736
2023-02-24,0.027175275719789838,1.0743701079522596,0.1,0.09887027504419321,0.02222979484839722,0.0025094980959384505,0.0,0.0,5.0189961918769013e-05,,-0.010907613642835545
2023-03-03,-0.036692551600236545,1.0349487273284697,0.1,0.09497714887840535,0.019749895671660644,0.0011297249558067796,0.0,0.0,2.2594499116135592e-05,,-0.047199937066646935
2023-03-10,0.020519044730979763,1.056184886558793,0.1,0.09576979615663836,0.02146267822028799,0.005022851121594634,0.0,0.0,0.00010045702243189266,,-0.02764938995563715
2023-03-17,0.02109599332855039,1.0784661558793531,0.1,0.09965973266672626,0.020864848793388163,0.004230203843361617,0.0,0.0,8.460407686723234e-05,,-0.007136687973129274
2023-03-24,0.03865228555700595,1.1201513376999683,0.1,0.10191275000280119,0.02244935483735668,0.0003402673332737489,0.0,0.0,6.805346665474976e-06,,0.0
