name,state,n_weeks,ann_return,sharpe,avg_BIL,avg_SPY,avg_offense,avg_defense,avg_cash,bucket_offense,bucket_defense,bucket_composite,bucket_cash,ann_return_delta_vs_prod,sharpe_delta_vs_prod
improved_phase2b_regime_confidence_boost,calm_trend,295,0.039271310846719365,0.42482057382356136,0.06848068479538143,0.09618626161545958,0.6927430908894723,0.23877622431514572,0.06848068479538143,0.4860551496231372,0.16945186108466728,0.31097656350895186,0.033516425783243604,0.0,0.0
improved_phase2b_regime_confidence_boost,neutral_healthy_proxy,293,0.0977527898006793,1.2446353828005612,0.21306891728727764,0.08628317246103223,0.5263438401479297,0.26058724256479227,0.21306891728727764,0.4253970555563971,0.15053865180273343,0.2748308920328668,0.14923340060800244,0.0,0.0
improved_phase2b_regime_confidence_boost,neutral_mixed,200,0.12228047650979453,1.7313175611775662,0.3859881889121024,0.06482284412769075,0.3827083017667637,0.23130350932113344,0.3859881889121024,0.34552910137255316,0.11154105320324462,0.21126220643528348,0.3316676389889186,0.0,0.0
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.028077843703231305,0.41785488392283765,0.12567720750750142,0.05956006771272775,0.47173555146715745,0.40258724102534066,0.12567720750750142,0.42720297040177857,0.17788775316154726,0.3310716607801548,0.06383761565651912,0.0,0.0
improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.06883008890469657,1.3132199192284053,0.21821790033286736,0.06231161074691929,0.45575818827943004,0.3260239113877022,0.21821790033286736,0.45843794814584216,0.1390698256782358,0.2789790554315232,0.12351317074439862,0.0,0.0
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.03544786173244997,0.5237400843528168,0.6074136983844914,0.027539553880161514,0.21406535671666055,0.17852094489884762,0.6074136983844914,0.2419112275012731,0.07616459990740157,0.17259945067106483,0.5093247219202602,0.0,0.0
improved_phase2b_combo_abc,calm_trend,295,0.0393359846513332,0.4259144716685569,0.06990173480219289,0.09607055754669304,0.6916982092094035,0.23840005598840308,0.06990173480219289,0.4852636671881657,0.16917476156035796,0.3106204737215011,0.03494109752997501,6.46738046138351e-05,0.0010938978449955283
improved_phase2b_combo_abc,neutral_healthy_proxy,293,0.09757552650762244,1.2383847718184346,0.21322013774046078,0.0864650857822243,0.5269992379804671,0.2597806242790716,0.21322013774046078,0.4253083045265352,0.15063090490054867,0.27467601693879545,0.1493847736341205,-0.0001772632930568535,-0.0062506109821265365
improved_phase2b_combo_abc,neutral_mixed,200,0.12050164723070057,1.7316543841479537,0.38994495418094766,0.06445284024365647,0.380229741742901,0.229825304076151,0.38994495418094766,0.3431592965185077,0.11104583341883184,0.20970519646284097,0.33608967359981934,-0.001778829279093952,0.00033682297038750697
improved_phase2b_combo_abc,recovery_confirmed,44,0.027560572738271363,0.40818488135160086,0.12590614593470717,0.05965863127720259,0.4720203265296936,0.40207352753559883,0.12590614593470717,0.4267179649725545,0.17787439077091516,0.33167395728986526,0.0637336869666649,-0.000517270964959942,-0.009670002571236791
