Date,net_return,wealth,target_growth_allocation,growth_weight_end,largest_stock_weight_end,allocation_turnover,quarterly_turnover,cap_turnover,cost,capped_assets,drawdown
2023-01-06,0.018360429762572128,1.0183604297625721,0.1,0.08392554544853818,0.02153447799971705,0.0,0.09999999999999999,0.0,0.002,,0.0
2023-01-13,0.004967641223221575,1.0234192790135583,0.1,0.09912767777136071,0.026733372117034967,0.016074454551461836,0.0,0.0,0.00032148909102923677,,0.0
2023-01-20,0.025710903447415445,1.0497323132824994,0.1,0.09818113080004352,0.027510770129836326,0.000872322228639302,0.0,0.0,1.744644457278604e-05,,0.0
2023-01-27,0.015278736105457602,1.0657708962785142,0.1,0.10183336487308099,0.028650126233678953,0.0018188691999564636,0.0,0.0,3.6377383999129275e-05,,0.0
2023-02-03,-0.010087548365340093,1.0550198808159328,0.1,0.10002900724571977,0.028542270475671525,0.001833364873081023,0.0,0.0,3.666729746162046e-05,,-0.010087548365340093
2023-02-10,-0.0036429165053076806,1.0511765314786807,0.1,0.09708240752107773,0.028449800881679383,2.900724571975287e-05,0.0,0.0,5.801449143950574e-07,,-0.013693716774209608
2023-02-17,-0.024493863394093873,1.0254291571135645,0.1,0.10251044376147432,0.028792084797225087,0.002917592478922237,0.0,0.0,5.835184957844474e-05,,-0.037852168140278475
2023-02-24,0.02754230454955353,1.0536718392527782,0.1,0.09919216748047921,0.027443276095604575,0.0025104437614743916,0.0,0.0,5.020887522948783e-05,,-0.01135239953350553
2023-03-03,-0.03864706529612749,1.0129505148804854,0.1,0.0931313207386144,0.024352218167320302,0.0008078325195207802,0.0,0.0,1.6156650390415602e-05,,-0.04956072790359389
2023-03-10,0.019900783291753932,1.0331090235623925,0.1,0.0952550586110732,0.02700400345460625,0.006868679261385588,0.0,0.0,0.00013737358522771174,,-0.03064624191763088
2023-03-17,0.0215546586628923,1.055377335926834,0.1,0.10007323964829191,0.026381560965956497,0.004744941388926857,0.0,0.0,9.489882777853713e-05,,-0.009752152538573533
2023-03-24,0.04017470150344149,1.0977768053711918,0.1,0.10322241523915232,0.028226503460119675,7.323964829193848e-05,0.0,0.0,1.4647929658387694e-06,,0.0
2023-03-31,-0.020194252919177202,1.0756080229147196,0.1,0.09783784596202215,0.026457011914213756,0.0032224152391523275,0.0,0.0,6.444830478304654e-05,,-0.020194252919177202
2023-04-07,-0.018114340246270455,1.056124093216024,0.1,0.08615036885783041,0.02226898310964902,0.0,0.019999999999999924,0.0,0.0003999999999999985,,-0.0379427875970505
2023-04-14,-0.006291434880103641,1.049479557258247,0.1,0.10045688958469506,0.027836632372900755,0.013849631142169562,0.0,0.0,0.0002769926228433912,,-0.043995507899817654
2023-04-21,0.008388985886974565,1.0582836264527546,0.1,0.09053989088013382,0.024092982516671572,0.0004568895846951016,0.0,0.0,9.137791693902033e-06,,-0.03597559970770503
2023-04-28,-0.00242687012743914,1.0557153095333585,0.1,0.09855583028658851,0.030221425173848324,0.009460109119866122,0.0,0.0,0.00018920218239732242,,-0.03831516172689686
2023-05-05,-0.0033370784529430653,1.0521923047214725,0.1,0.10331269386987138,0.03429787389600524,0.0014441697134115177,0.0,0.0006642692633891388,4.2168395808992434e-05,0001561550,-0.04152437947922005
2023-05-12,0.029529723286639387,1.083263252324229,0.1,0.095615174620452,0.030753929227019836,0.0033126938698714043,0.0,0.0031981217518202523,0.00013021207467450418,0001561550,-0.01322085962825148
2023-05-19,0.028776661619902777,1.1144359523816387,0.1,0.09606968871071565,0.029497085341312256,0.004384825379547989,0.0,0.002164276590090122,0.00013097824340279398,0001561550,0.0
2023-05-26,0.01392356687514984,1.1299528758926958,0.1,0.10333254467831791,0.03136732181456365,0.003930311289284345,0.0,0.0007038419059872936,9.268195737831718e-05,0001561550,0.0
2023-06-02,-0.0038907305563493644,1.1255565337112252,0.1,0.09868140620189296,0.029157778362453472,0.003332544678317957,0.0,0.0003557044029182797,7.376450746439873e-05,0001561550,-0.0038907305563493644
2023-06-09,0.03734289678002223,1.1675880751696832,0.1,0.09830298848434307,0.028518714760483094,0.0013185937981069935,0.0,0.0,2.637187596213987e-05,,0.0
2023-06-16,-0.02898453174618154,1.1337460815384646,0.1,0.0952499324108133,0.02922698852764233,0.0016970115156569286,0.0,0.0,3.3940230313138566e-05,,-0.02898453174618154
2023-06-23,0.030891057661185384,1.1687686971164122,0.1,0.10164179122898981,0.030561419071126267,0.004750067589186717,0.0,0.0006845241648951758,0.00010869053446721796,0001561550,0.0
2023-06-30,-0.016621175789869214,1.1493423871439439,0.1,0.10295784348177947,0.030394431113065366,0.0016417912289898428,0.0,6.776907568869509e-05,3.419116158850113e-05,0001561550,-0.016621175789869214
2023-07-07,0.030061957383652915,1.183893869005491,0.1,0.1006277031917933,0.021303404114622896,0.0,0.10295784348177944,0.0,0.0020591568696355887,,0.0
2023-07-14,-0.006504049037884818,1.176193765225828,0.1,0.09798509425979679,0.020749500266895208,0.0006277031917933436,0.0,0.0,1.2554063835866872e-05,,-0.006504049037884818
2023-07-21,0.015182383726806803,1.1940511903065643,0.1,0.09968216982798028,0.021889788727343637,0.002014905740203172,0.0,0.0,4.0298114804063445e-05,,0.0
2023-07-28,-0.032740755925659504,1.1549570517219938,0.1,0.10100632647300509,0.022497507051372222,0.0003178301720196536,0.0,0.0,6.3566034403930724e-06,,-0.032740755925659504
2023-08-04,-0.02002785117037409,1.1318257437819317,0.1,0.09977389478777968,0.02490795582366172,0.0010063264730051074,0.0,0.0,2.0126529460102148e-05,,-0.05211288010914894
2023-08-11,-0.0209042749416678,1.1081657472478565,0.1,0.09634977778420185,0.02449251044840427,0.00022610521222032887,0.0,0.0,4.5221042444065775e-06,,-0.07192777307701292
2023-08-18,0.017962594214210537,1.1280712788877572,0.1,0.09867206985727052,0.024884040801534967,0.003650222215798151,0.0,0.0,7.3004444315963e-05,,-0.0552571882633166
2023-08-25,0.03244866852385919,1.1646756898876718,0.1,0.0996197561785999,0.02451008496391383,0.0013279301427295293,0.0,0.0,2.6558602854590587e-05,,-0.024601541924974324
2023-09-01,-0.01950330751812146,1.1419606617489122,0.1,0.09889201528509638,0.026685802925829942,0.0003802438214001117,0.0,0.0,7.604876428002234e-06,,-0.043625038005513095
2023-09-08,-0.014609943511184609,1.1252766809887655,0.1,0.10139286685779943,0.02769654728382829,0.0011079847149036096,0.0,0.0,2.2159694298072193e-05,,-0.05759762217576392
2023-09-15,-0.025543854208793237,1.0965327775050338,0.1,0.09884485412262883,0.02834155326572921,0.001392866857799456,0.0,0.0,2.785733715598912e-05,,-0.08167021112092632
2023-09-22,-0.002848025587031011,1.0934098240976813,0.1,0.10200335350693396,0.028049342918096378,0.0011551458773711885,0.0,0.0,2.3102917547423772e-05,,-0.08428563785698673
2023-09-29,0.010094321427235986,1.1044470543138207,0.1,0.09993289752938814,0.02432632757231528,0.002003353506933942,0.0,0.0,4.006707013867884e-05,,-0.07504212274997879
2023-10-06,0.010221864793525715,1.1157365627746243,0.1,0.10314739431734218,0.022099488315301674,0.0,0.10000000000000003,0.0,0.002000000000000001,,-0.06558732838902259
2023-10-13,-0.021637882120476237,1.0915943865518016,0.1,0.10118672196554684,0.024000168228306303,0.003147394317342206,0.0,0.0,6.294788634684412e-05,,-0.08580603962922018
2023-10-20,-0.01813650686625423,1.0717966774649403,0.1,0.10024535143195262,0.02283947145898944,0.0011867219655468247,0.0,0.0,2.3734439310936496e-05,,-0.102386324668573
2023-10-27,0.060551824241791286,1.1366959215017334,0.1,0.09714531985527562,0.022173158407397503,0.0002453514319526572,0.0,0.0,4.907028639053144e-06,,-0.048034179162876
2023-11-03,0.035806177021310726,1.1773966568864263,0.1,0.09330945638299261,0.020596719377329584,0.0028546801447243645,0.0,0.0,5.709360289448728e-05,,-0.013947922463744655
2023-11-10,0.018708049995493026,1.1994234524079839,0.1,0.1003346588651819,0.022570396305296243,0.006690543617007336,0.0,0.0,0.00013381087234014673,,0.0
2023-11-17,0.007924555343678197,1.2089283499370964,0.1,0.09920145573200283,0.022397412839389796,0.0003346588651819103,0.0,0.0,6.6931773036382055e-06,,0.0
2023-11-24,0.00490806268984656,1.2148618460661205,0.1,0.09919723563185148,0.022535258432013726,0.0007985442679971887,0.0,0.0,1.5970885359943773e-05,,0.0
2023-12-01,0.0012718642605897834,1.2164069854296862,0.1,0.09593581990939179,0.020506679146684914,0.0008027643681484606,0.0,0.0,1.6055287362969213e-05,,0.0
2023-12-08,0.030302807965429723,1.2532675327169693,0.1,0.1023824040575429,0.023129366507951856,0.0040641800906082454,0.0,0.0,8.128360181216491e-05,,0.0
2023-12-15,0.003736878432910151,1.257950841130646,0.1,0.09928358946889582,0.02264652782160776,0.002382404057542876,0.0,0.0,4.764808115085753e-05,,0.0
2023-12-22,0.001684513968633894,1.2600698768943852,0.1,0.0994176999191277,0.02303624208940971,0.0007164105311041769,0.0,0.0,1.4328210622083536e-05,,0.0
2023-12-29,-0.041943111815486156,1.2072186251524781,0.1,0.10244333326169314,0.022240177335977378,0.0005823000808722681,0.0,0.0,1.1646001617445363e-05,,-0.041943111815486156
2024-01-05,0.03303517458574001,1.2470993031975472,0.1,0.09596895767819272,0.02153822835847695,0.0,0.08244333326169312,0.0,0.0016488666652338625,,-0.010293535251239994
2024-01-12,0.036530338213509816,1.2926562625291862,0.1,0.10044709390361252,0.023542182933207177,0.004031042321807286,0.0,0.0,8.062084643614573e-05,,0.0
2024-01-19,0.006650510195876924,1.3012530861829006,0.1,0.09948652994070492,0.02388504058006655,0.000447093903612519,0.0,0.0,8.94187807225038e-06,,0.0
2024-01-26,-0.003520160510778414,1.296672466454391,0.1,0.10186175389554437,0.02611762664889644,0.000513470059295109,0.0,0.0,1.026940118590218e-05,,-0.003520160510778414
2024-02-02,0.023970704628753392,1.3277546191480063,0.1,0.09676470577497852,0.027299670380367968,0.0018617538955443512,0.0,0.0,3.723507791088702e-05,,0.0
2024-02-09,-0.022989177195734567,1.2972306329359578,0.1,0.10223834031335706,0.029066533642725014,0.0032352942250214647,0.0,0.0,6.470588450042929e-05,,-0.022989177195734567
2024-02-16,0.011044420032468194,1.311557792925087,0.1,0.09791914290632778,0.03052076301984612,0.0022383403133570314,0.0,0.0,4.476680626714063e-05,,-0.012198659292416925
2024-02-23,0.012069969761892674,1.3273882558266674,0.1,0.1019005078450814,0.030942945906748467,0.0020808570936722316,0.0,0.0011693527066951042,6.500322270499682e-05,0001045810,-0.00027592697931944077
2024-03-01,-0.0062206861191678176,1.3191309901289001,0.1,0.10020973811606468,0.032113913204942154,0.0019005078450813591,0.0,0.0003658407216093626,4.5326693220549844e-05,0001045810,-0.0064948966433570066
2024-03-08,-0.012405585863394797,1.302766397365791,0.1,0.09196062848231451,0.030483953233244036,0.0002097381160647031,0.0,0.002046699062068452,4.5128571854340925e-05,0001045810,-0.018819909508768773
2024-03-15,0.022380669867714476,1.3319231820199866,0.1,0.09400909266300031,0.0314935996381638,0.008039371517685513,0.0,0.003148917897083091,0.00022375566216703072,0001045810,0.0
2024-03-22,-0.0022272725932206416,1.3289566260203982,0.1,0.09649137557582274,0.028809357731174375,0.005990907336999642,0.0,0.003500588875015186,0.00018982153555886647,0001045810,-0.0022272725932206416
2024-03-29,-0.022959903249310076,1.2984439104644403,0.1,0.09819653959471385,0.029762361370794327,0.003508624424177236,0.0,0.0,7.017248848354472e-05,,-0.025136037879280537
2024-04-05,-0.019569979376765745,1.2730333899147641,0.1,0.09902389497915665,0.020446909673592674,0.0,0.05005193905074173,0.0,0.0010010387810148343,,-0.044214105513135205
2024-04-12,-0.03530233763289847,1.2280923353660398,0.1,0.09922657738988004,0.021183519671114072,0.0009761050208433424,0.0,0.0,1.952210041686685e-05,,-0.07795558186507245
2024-04-19,0.03096589686453277,1.2661213159631077,0.1,0.10338140719886153,0.021773965834835592,0.0007734226101199417,0.0,0.0,1.5468452202398836e-05,,-0.04940364950858811
2024-04-26,-0.005530586407597182,1.259118922622673,0.1,0.10102088819406159,0.021908552954752355,0.0033814071988615656,0.0,0.0,6.76281439772313e-05,,-0.05466100476372748
2024-05-03,0.02248763885465288,1.2874335342296714,0.1,0.10250969367120896,0.024233836266191657,0.0010208881940615682,0.0,0.0,2.0417763881231362e-05,,-0.03340256284363374
2024-05-10,0.027096786434091857,1.322318845754781,0.1,0.09979238308407952,0.02228154120649588,0.0025096936712089846,0.0,0.0,5.01938734241797e-05,,-0.007210878521267117
2024-05-17,0.0032155740253341225,1.3265708598883998,0.1,0.10674300655668177,0.026161163363369922,0.00020761691592050685,0.0,0.0,4.152338318410137e-06,,-0.004018491609605768
2024-05-24,-0.0031681514617390993,1.3223680824795438,0.1,0.11095892813554395,0.030905488186221495,0.006743006556681846,0.0,0.0,0.0001348601311336369,,-0.007173911881278028
2024-05-31,-0.02817333255225274,1.285112566735363,0.6,0.5845021945533797,0.15642345377097616,0.489041071864456,0.0,0.0,0.00978082143728912,,-0.035145131428398924
2024-06-07,0.0033241395744321167,1.2893844602760478,0.6,0.5830422196452739,0.14833964384028167,0.015497805446620237,0.0,0.0,0.0003099561089324048,,-0.03193781917619665
2024-06-14,-0.009316989973454537,1.2773712781877278,0.1,0.09769790534105177,0.025333650592025865,0.4830422196452739,0.0,0.0,0.009660844392905477,,-0.040957244808612514
2024-06-21,-0.0021870043523863902,1.2745776616427178,0.1,0.10125635545074946,0.02653259482784553,0.0023020946589482486,0.0,0.0,4.6041893178964975e-05,,-0.043054675488340854
2024-06-28,0.025884994245606974,1.3075700970799187,0.1,0.09473289987702113,0.024292446568361385,0.0012563554507494358,0.0,0.0,2.5127109014988712e-05,,-0.018284151269996052
2024-07-05,0.00221807094613502,1.3104703803222866,0.1,0.10248863956644429,0.02120921456318607,0.0,0.08000000000000003,0.0,0.0016000000000000005,,-0.016106635868567754
2024-07-12,-0.04284349235632334,1.2543252525997606,0.1,0.10551453805059316,0.023912402708983475,0.00248863956644429,0.0,0.0,4.97727913288858e-05,,-0.05826006369417003
2024-07-19,-0.020801073025620953,1.2282339414225525,0.1,0.10177208021141543,0.024832234591178406,0.00551453805059318,0.0,0.0,0.00011029076101186361,,-0.07784926488041122
2024-07-26,-0.08723053703206829,1.1210944351112493,0.4,0.3783027082018113,0.08087331447359423,0.29822791978858465,0.0,0.0,0.005964558395771693,,-0.15828896872940956
2024-08-02,-0.0038157406534825578,1.1168166294988022,0.1,0.09912458568244009,0.020790438156336234,0.2783027082018113,0.0,0.0,0.005566054164036226,,-0.16150071972991342
2024-08-09,0.06208401810090147,1.1861530933399937,0.1,0.10007424201239658,0.02087594313236683,0.0008754143175598965,0.0,0.0,1.7508286351197927e-05,,-0.10944331523603246
2024-08-16,0.016624721446591106,1.2058725581097836,0.1,0.1035813865483471,0.02384510237346265,7.424201239663447e-05,0.0,0.0,1.4848402479326895e-06,,-0.09463805841943185
2024-08-23,-0.010329176055584033,1.1934168881564702,0.1,0.09851215585427929,0.023150556084327298,0.00358138654834708,0.0,0.0,7.162773096694161e-05,,-0.10398970130804286
2024-08-30,-0.05764321868289646,1.124624497492605,0.1,0.09638405283979472,0.022712525945478016,0.0014878441457206407,0.0,0.0,2.9756882914412813e-05,,-0.15563861889767072
2024-09-06,0.06081375722937166,1.1930171386573243,0.1,0.09857596762376024,0.02358604734249466,0.003615947160205293,0.0,0.0,7.231894320410586e-05,,-0.10428983085345678
2024-09-13,0.011846400519247346,1.2071500975081855,0.1,0.10024081419951253,0.02307204042201931,0.0014240323762397776,0.0,0.0,2.848064752479555e-05,,-0.093678889440584
