,market_state,market_state_stable,market_state_reason,risk_state,signal_environment,risk_regime_score,market_drawdown,market_trend_positive,breadth_sma_43,breadth_26w_mom,breadth_13w_mom,breadth_change_4w,canary_breadth_default,canary_breadth_pair,recent_stress_26w,avg_corr_risk_off_z,google_fear_z_tradable,transition_persistence_prob,transition_good_state_prob,transition_non_stress_prob
2005-01-07,neutral_mixed,neutral_mixed,mixed inputs,neutral,mixed,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-01-14,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0016880275919384,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-01-21,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0140150661794797,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-01-28,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0085272625787478,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,
2005-02-04,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-02-11,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-02-18,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0031462903133329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-02-25,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-03-04,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-03-11,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0190661274081795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2005-03-18,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0303461544752456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-03-25,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.041798383069925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-01,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0394258797393783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-08,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0347632063593638,0.0,0.0,0.0,0.3571428571428571,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-15,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0662561458210622,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-22,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0546404452319198,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-04-29,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0531680946038803,0.0,0.0,0.0,0.2142857142857142,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-05-06,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0422070171111714,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-05-13,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0534136242099543,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-05-20,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0256016072632656,1.0,0.2857142857142857,0.0,0.2142857142857142,0.2857142857142857,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-05-27,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0163585018944925,1.0,0.4285714285714285,0.0,0.2142857142857142,0.4285714285714285,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-06-03,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0171765050955663,1.0,0.4285714285714285,0.0,0.2857142857142857,0.4285714285714285,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-06-10,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0167673197153841,1.0,0.4285714285714285,0.0,0.4285714285714285,0.4285714285714285,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-06-17,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0032720128042954,1.0,0.5714285714285714,0.0,0.5,0.2857142857142857,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-06-24,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0228189996543104,1.0,0.5,0.0,0.5714285714285714,0.0714285714285714,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-07-01,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0183016959737003,1.0,0.3571428571428571,0.0,0.5714285714285714,-0.0714285714285714,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-07-08,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,0.0,-0.0036003351405611,1.0,0.4285714285714285,0.5,0.5,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-07-15,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,0.0,0.0,1.0,0.5,0.5,0.6428571428571429,-0.0714285714285714,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-07-22,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,0.0,0.0,1.0,0.5714285714285714,0.5,0.6428571428571429,0.0714285714285714,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-07-29,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,0.0,0.0,1.0,0.6428571428571429,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,,,1.0,0.0,1.0
2005-08-05,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,0.0,-0.0069503605608608,1.0,0.6428571428571429,0.5,0.6428571428571429,0.2142857142857143,0.0,0.0,0.0,,,1.0,0.0,1.0
